Country,Iso code,Age group,age_in_days_midpoint,units,clinical,severe
Malawi,MWI,n_age_0_6,3,ppy,0.115962794466985,0.00764450301933805
Malawi,MWI,n_age_7_13,10,ppy,0.115917683932009,0.00810287455178151
Malawi,MWI,n_age_14_20,17,ppy,0.131802135532889,0.00781856686032176
Malawi,MWI,n_age_21_27,24,ppy,0.142002818122837,0.00876306548916447
Malawi,MWI,n_age_28_34,31,ppy,0.165790546792142,0.0119367735640462
Malawi,MWI,n_age_35_41,38,ppy,0.182887493154615,0.0124508158158603
Malawi,MWI,n_age_42_48,45,ppy,0.217151532208531,0.0109245642969954
Malawi,MWI,n_age_49_55,52,ppy,0.237743391753793,0.0131210090932106
Malawi,MWI,n_age_56_62,59,ppy,0.250650772095954,0.0160467580246396
Malawi,MWI,n_age_63_69,66,ppy,0.274808999548888,0.0149618339969377
Malawi,MWI,n_age_70_76,73,ppy,0.31558670251558,0.0152746337893086
Malawi,MWI,n_age_77_83,80,ppy,0.329057028295819,0.019082419525925
Malawi,MWI,n_age_84_90,87,ppy,0.372812527889139,0.0190967261448692
Malawi,MWI,n_age_91_97,94,ppy,0.388921290328444,0.0224191026217102
Malawi,MWI,n_age_98_104,101,ppy,0.411746734877205,0.0250501393709663
Malawi,MWI,n_age_105_111,108,ppy,0.43886714283273,0.0308781586028848
Malawi,MWI,n_age_112_118,115,ppy,0.463123014784676,0.0283677656715862
Malawi,MWI,n_age_119_125,122,ppy,0.488183778765575,0.0272213235184313
Malawi,MWI,n_age_126_132,129,ppy,0.523083097050264,0.032091843228639
Malawi,MWI,n_age_133_139,136,ppy,0.524120483643955,0.0289572295724955
Malawi,MWI,n_age_140_146,143,ppy,0.570893978266294,0.032696648265393
Malawi,MWI,n_age_147_153,150,ppy,0.589297752610102,0.0341232544229544
Malawi,MWI,n_age_154_160,157,ppy,0.593307243114707,0.0321632376374055
Malawi,MWI,n_age_161_167,164,ppy,0.623350619611856,0.0386292460072972
Malawi,MWI,n_age_168_174,171,ppy,0.625249223424057,0.0381396218950282
Malawi,MWI,n_age_175_181,178,ppy,0.648139641838413,0.040813654341291
Malawi,MWI,n_age_182_188,185,ppy,0.667141417097651,0.0408388297788057
Malawi,MWI,n_age_189_195,192,ppy,0.688247585712018,0.040795891485464
Malawi,MWI,n_age_196_202,199,ppy,0.704406844677724,0.0416009503496907
Malawi,MWI,n_age_203_209,206,ppy,0.724621222798151,0.0416528580197714
Malawi,MWI,n_age_210_216,213,ppy,0.728742415522997,0.046267794011361
Malawi,MWI,n_age_217_223,220,ppy,0.745117407760464,0.0412821617109384
Malawi,MWI,n_age_224_230,227,ppy,0.729824674553012,0.048207129295934
Malawi,MWI,n_age_231_237,234,ppy,0.737807618219239,0.0484585558347585
Malawi,MWI,n_age_238_244,241,ppy,0.770911321097624,0.0479026064751013
Malawi,MWI,n_age_245_251,248,ppy,0.762318020457487,0.049712477980106
Malawi,MWI,n_age_252_258,255,ppy,0.767630897113222,0.0493775599452457
Malawi,MWI,n_age_259_265,262,ppy,0.779933858479013,0.0447746312362978
Malawi,MWI,n_age_266_272,269,ppy,0.779605393605533,0.0488810503893063
Malawi,MWI,n_age_273_279,276,ppy,0.790196234279711,0.0472656657548184
Malawi,MWI,n_age_280_286,283,ppy,0.790756637679434,0.051627052349814
Malawi,MWI,n_age_287_293,290,ppy,0.810515095366962,0.0468490419413615
Malawi,MWI,n_age_294_300,297,ppy,0.804209159001449,0.0467835364357072
Malawi,MWI,n_age_301_307,304,ppy,0.799193648857845,0.0461425652208388
Malawi,MWI,n_age_308_314,311,ppy,0.805879318531334,0.0420081395186844
Malawi,MWI,n_age_315_321,318,ppy,0.82054460784091,0.0492558171438718
Malawi,MWI,n_age_322_328,325,ppy,0.829391302696353,0.0545245649173186
Malawi,MWI,n_age_329_335,332,ppy,0.804638016407809,0.0459040324122163
Malawi,MWI,n_age_336_342,339,ppy,0.797143841129077,0.0425008565366229
Malawi,MWI,n_age_343_349,346,ppy,0.836970346163575,0.0460198674576849
Malawi,MWI,n_age_350_356,353,ppy,0.831281850111199,0.0392066379636422
Malawi,MWI,n_age_357_363,360,ppy,0.822106000800829,0.0467248445387712
Malawi,MWI,n_age_364_370,367,ppy,0.810531683714974,0.0423280702220024
Malawi,MWI,n_age_371_377,374,ppy,0.840052177961693,0.0402928250724306
Malawi,MWI,n_age_378_384,381,ppy,0.847250439162103,0.0402278917784079
Malawi,MWI,n_age_385_391,388,ppy,0.825641066403531,0.0410876542823391
Malawi,MWI,n_age_392_398,395,ppy,0.848622998424583,0.0417757076684208
Malawi,MWI,n_age_399_405,402,ppy,0.850067712512581,0.0399420253188515
Malawi,MWI,n_age_406_412,409,ppy,0.826213001661132,0.0401492432275872
Malawi,MWI,n_age_413_419,416,ppy,0.838009092970689,0.0384831062987871
Malawi,MWI,n_age_420_426,423,ppy,0.859139519855815,0.036959104611004
Malawi,MWI,n_age_427_433,430,ppy,0.835597849751913,0.040990453341988
Malawi,MWI,n_age_434_440,437,ppy,0.863611885079665,0.0373749069678005
Malawi,MWI,n_age_441_447,444,ppy,0.84808289415540306,0.0349481869695067
Malawi,MWI,n_age_448_454,451,ppy,0.839393575594299,0.0441756920524246
Malawi,MWI,n_age_455_461,458,ppy,0.856891225580707,0.038195160113459
Malawi,MWI,n_age_462_468,465,ppy,0.874662765056251,0.0422037049187608
Malawi,MWI,n_age_469_475,472,ppy,0.846795212535955,0.0379676541516252
Malawi,MWI,n_age_476_482,479,ppy,0.860329636730909,0.0371863885705346
Malawi,MWI,n_age_483_489,486,ppy,0.87201610939373,0.0440484200062941
Malawi,MWI,n_age_490_496,493,ppy,0.875686808766144,0.0417376500320688
Malawi,MWI,n_age_497_503,500,ppy,0.886269215340431,0.0365777860133518
Malawi,MWI,n_age_504_510,507,ppy,0.898839296936665,0.0391142404315719
Malawi,MWI,n_age_511_517,514,ppy,0.895101494846465,0.0377665525547186
Malawi,MWI,n_age_518_524,521,ppy,0.881252146407735,0.0335030959829541
Malawi,MWI,n_age_525_531,528,ppy,0.902690855026409,0.0396286281591706
Malawi,MWI,n_age_532_538,535,ppy,0.903654433658081,0.0374555370577495
Malawi,MWI,n_age_539_545,542,ppy,0.924676630060322,0.0415488472555798
Malawi,MWI,n_age_546_552,549,ppy,0.90014738529432,0.0370685343610203
Malawi,MWI,n_age_553_559,556,ppy,0.897413089543969,0.0391533789557031
Malawi,MWI,n_age_560_566,563,ppy,0.921708960494371,0.0427807144916304
Malawi,MWI,n_age_567_573,570,ppy,0.918352999857589,0.0349333762307023
Malawi,MWI,n_age_574_580,577,ppy,0.921552599301382,0.0359954149953111
Malawi,MWI,n_age_581_587,584,ppy,0.941805512399811,0.0365875925882903
Malawi,MWI,n_age_588_594,591,ppy,0.927812226790924,0.0351421396333357
Malawi,MWI,n_age_595_601,598,ppy,0.931956675147213,0.0330407748430075
Malawi,MWI,n_age_602_608,605,ppy,0.939513872017637,0.037558621088423
Malawi,MWI,n_age_609_615,612,ppy,0.943290533974604,0.0338043643742883
Malawi,MWI,n_age_616_622,619,ppy,0.93114730683658,0.0354933636018189
Malawi,MWI,n_age_623_629,626,ppy,0.946301885310456,0.0338951879492839
Malawi,MWI,n_age_630_636,633,ppy,0.962281657199838,0.0374415994763933
Malawi,MWI,n_age_637_643,640,ppy,0.941691687459365,0.0349390308414631
Malawi,MWI,n_age_644_650,647,ppy,0.921104007891155,0.0358989130129631
Malawi,MWI,n_age_651_657,654,ppy,0.938160952626746,0.0361973014685562
Malawi,MWI,n_age_658_664,661,ppy,0.952215545504445,0.0393501022439249
Malawi,MWI,n_age_665_671,668,ppy,0.925279695177767,0.0346473099384853
Malawi,MWI,n_age_672_678,675,ppy,0.94728969067016,0.0334560518505147
Malawi,MWI,n_age_679_685,682,ppy,0.926154532224486,0.0340330673211151
Malawi,MWI,n_age_686_692,689,ppy,0.977033934373707,0.0408083435200944
Malawi,MWI,n_age_693_699,696,ppy,0.932618766789346,0.0297464674731948
Malawi,MWI,n_age_700_706,703,ppy,0.964140512650744,0.0368909472290664
Malawi,MWI,n_age_707_713,710,ppy,0.963478077854766,0.0390507657678099
Malawi,MWI,n_age_714_720,717,ppy,0.95206063187836,0.0316902973642216
Malawi,MWI,n_age_721_727,724,ppy,0.956177103068976,0.0319522824158122
Malawi,MWI,n_age_728_734,731,ppy,0.961970272223472,0.0315463786656625
Malawi,MWI,n_age_735_741,738,ppy,0.975141092579809,0.0345916643449436
