Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,scenario,Scenario
Angola,rural/urban merged,AGO,Bengo,n_age_0_6,3,clinical,ppy,0.0442566782839725,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_7_13,10,clinical,ppy,0.0518493525780012,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_14_20,17,clinical,ppy,0.0636374105328947,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_21_27,24,clinical,ppy,0.0521924390841358,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_28_34,31,clinical,ppy,0.052974232792493,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_35_41,38,clinical,ppy,0.0636455365917716,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_42_48,45,clinical,ppy,0.0559718214407604,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_49_55,52,clinical,ppy,0.0912938869786146,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_56_62,59,clinical,ppy,0.0616862323972157,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_63_69,66,clinical,ppy,0.0437305583329301,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_70_76,73,clinical,ppy,0.0456465157010313,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_77_83,80,clinical,ppy,0.0691831073268164,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_84_90,87,clinical,ppy,0.0793876401565361,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_91_97,94,clinical,ppy,0.0830185550172483,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_98_104,101,clinical,ppy,0.125644962527374,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_105_111,108,clinical,ppy,0.103993118062829,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_112_118,115,clinical,ppy,0.10955468742009,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_119_125,122,clinical,ppy,0.0659964099436711,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_126_132,129,clinical,ppy,0.0847628003875691,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_133_139,136,clinical,ppy,0.0792844931205073,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_140_146,143,clinical,ppy,0.0906781607165759,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_147_153,150,clinical,ppy,0.100453741497252,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_154_160,157,clinical,ppy,0.125641068362356,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_161_167,164,clinical,ppy,0.111369477040421,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_168_174,171,clinical,ppy,0.125373789767044,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_175_181,178,clinical,ppy,0.130669740771168,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_182_188,185,clinical,ppy,0.0905995466619554,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_189_195,192,clinical,ppy,0.116929657224322,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_196_202,199,clinical,ppy,0.102519007525232,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_203_209,206,clinical,ppy,0.1461168006849,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_210_216,213,clinical,ppy,0.14599040074907,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_217_223,220,clinical,ppy,0.115094750254488,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_224_230,227,clinical,ppy,0.151161931956084,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_231_237,234,clinical,ppy,0.1618655616522,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_238_244,241,clinical,ppy,0.161092467562108,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_245_251,248,clinical,ppy,0.158164006359511,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_252_258,255,clinical,ppy,0.128658141960684,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_259_265,262,clinical,ppy,0.149737713740453,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_266_272,269,clinical,ppy,0.180229194678147,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_273_279,276,clinical,ppy,0.0778454686428696,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_280_286,283,clinical,ppy,0.0867774648165918,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_287_293,290,clinical,ppy,0.097461371361704,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_294_300,297,clinical,ppy,0.111426314683694,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_301_307,304,clinical,ppy,0.136676827793476,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_308_314,311,clinical,ppy,0.128016300654809,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_315_321,318,clinical,ppy,0.154707054184487,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_322_328,325,clinical,ppy,0.145108261705983,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_329_335,332,clinical,ppy,0.164312712815726,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_336_342,339,clinical,ppy,0.137318946606938,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_343_349,346,clinical,ppy,0.166678515421885,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_350_356,353,clinical,ppy,0.195573628463946,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_357_363,360,clinical,ppy,0.170695735332926,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_364_370,367,clinical,ppy,0.163619889775293,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_371_377,374,clinical,ppy,0.165881263108149,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_378_384,381,clinical,ppy,0.181228769222294,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_385_391,388,clinical,ppy,0.181903894776264,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_392_398,395,clinical,ppy,0.194754095550105,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_399_405,402,clinical,ppy,0.166997932638733,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_406_412,409,clinical,ppy,0.172927348846368,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_413_419,416,clinical,ppy,0.200452089452874,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_420_426,423,clinical,ppy,0.195024888211364,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_427_433,430,clinical,ppy,0.193042196951222,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_434_440,437,clinical,ppy,0.18557999283645,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_441_447,444,clinical,ppy,0.178125402909423,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_448_454,451,clinical,ppy,0.191402659657038,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_455_461,458,clinical,ppy,0.137426427955157,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_462_468,465,clinical,ppy,0.155128170914765,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_469_475,472,clinical,ppy,0.147157356969967,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_476_482,479,clinical,ppy,0.160988688353948,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_483_489,486,clinical,ppy,0.165496862914171,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_490_496,493,clinical,ppy,0.176681125170852,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_497_503,500,clinical,ppy,0.161194360668567,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_504_510,507,clinical,ppy,0.144652996241042,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_511_517,514,clinical,ppy,0.188241252406315,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_518_524,521,clinical,ppy,0.192887203648254,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_525_531,528,clinical,ppy,0.198326597889036,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_532_538,535,clinical,ppy,0.177299201415795,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_539_545,542,clinical,ppy,0.204267687113476,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_546_552,549,clinical,ppy,0.181906416276948,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_553_559,556,clinical,ppy,0.235845265960384,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_560_566,563,clinical,ppy,0.196776922400382,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_567_573,570,clinical,ppy,0.1872264564374,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_574_580,577,clinical,ppy,0.207830240595155,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_581_587,584,clinical,ppy,0.202230595452778,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_588_594,591,clinical,ppy,0.172611299740195,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_595_601,598,clinical,ppy,0.207894375279593,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_602_608,605,clinical,ppy,0.166325852996386,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_609_615,612,clinical,ppy,0.202594895859439,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_616_622,619,clinical,ppy,0.179613053035901,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_623_629,626,clinical,ppy,0.220328836949635,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_630_636,633,clinical,ppy,0.206127489209173,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_637_643,640,clinical,ppy,0.217387958828153,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_644_650,647,clinical,ppy,0.210164092756785,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_651_657,654,clinical,ppy,0.211814371704655,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_658_664,661,clinical,ppy,0.213575892534708,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_665_671,668,clinical,ppy,0.204726423104545,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_672_678,675,clinical,ppy,0.228283438197971,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_679_685,682,clinical,ppy,0.227391517716771,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_686_692,689,clinical,ppy,0.223168872354553,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_693_699,696,clinical,ppy,0.251752351445599,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_700_706,703,clinical,ppy,0.169096671331944,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_707_713,710,clinical,ppy,0.208174036734686,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_714_720,717,clinical,ppy,0.194872048636875,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_721_727,724,clinical,ppy,0.190445105587479,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_728_734,731,clinical,ppy,0.196494064785535,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_735_741,738,clinical,ppy,0.20084172527158,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_742_748,745,clinical,ppy,0.207974711857814,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_749_755,752,clinical,ppy,0.216028746460594,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_756_762,759,clinical,ppy,0.197277763612712,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_763_769,766,clinical,ppy,0.231120684985318,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_770_776,773,clinical,ppy,0.221666589345328,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_777_783,780,clinical,ppy,0.202499421948743,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_784_790,787,clinical,ppy,0.202279686862061,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_791_797,794,clinical,ppy,0.212119432004989,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_798_804,801,clinical,ppy,0.190075977483887,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_805_811,808,clinical,ppy,0.258044860121639,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_812_818,815,clinical,ppy,0.192288474903458,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_819_825,822,clinical,ppy,0.21713956091321,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_826_832,829,clinical,ppy,0.229446004908762,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_833_839,836,clinical,ppy,0.258030712914962,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_840_846,843,clinical,ppy,0.228556933292375,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_847_853,850,clinical,ppy,0.225373167478047,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_854_860,857,clinical,ppy,0.22733512370648,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_861_867,864,clinical,ppy,0.261257313913488,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_868_874,871,clinical,ppy,0.239349178368271,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_875_881,878,clinical,ppy,0.232338912326711,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_882_888,885,clinical,ppy,0.241526631876175,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_889_895,892,clinical,ppy,0.234869747212488,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_896_902,899,clinical,ppy,0.243470552911646,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,rural/urban merged,AGO,Bengo,n_age_903_909,906,clinical,ppy,0.277577079721525,5,PMC co-delivery with EPI only,PMC co-delivery with EPI only
