Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Angola,rural/urban merged,AGO,Bengo,n_age_0_6,3,clinical,ppy,0.0442566782839725
Angola,rural/urban merged,AGO,Bengo,n_age_7_13,10,clinical,ppy,0.0518493525780012
Angola,rural/urban merged,AGO,Bengo,n_age_14_20,17,clinical,ppy,0.0636374105328947
Angola,rural/urban merged,AGO,Bengo,n_age_21_27,24,clinical,ppy,0.0521924390841358
Angola,rural/urban merged,AGO,Bengo,n_age_28_34,31,clinical,ppy,0.052974232792493
Angola,rural/urban merged,AGO,Bengo,n_age_35_41,38,clinical,ppy,0.0636455365917716
Angola,rural/urban merged,AGO,Bengo,n_age_42_48,45,clinical,ppy,0.0559718214407604
Angola,rural/urban merged,AGO,Bengo,n_age_49_55,52,clinical,ppy,0.0912938869786146
Angola,rural/urban merged,AGO,Bengo,n_age_56_62,59,clinical,ppy,0.0616862323972157
Angola,rural/urban merged,AGO,Bengo,n_age_63_69,66,clinical,ppy,0.0873039474423495
Angola,rural/urban merged,AGO,Bengo,n_age_70_76,73,clinical,ppy,0.0875999430499155
Angola,rural/urban merged,AGO,Bengo,n_age_77_83,80,clinical,ppy,0.114732203051902
Angola,rural/urban merged,AGO,Bengo,n_age_84_90,87,clinical,ppy,0.113342999986774
Angola,rural/urban merged,AGO,Bengo,n_age_91_97,94,clinical,ppy,0.100452148311358
Angola,rural/urban merged,AGO,Bengo,n_age_98_104,101,clinical,ppy,0.140105363937153
Angola,rural/urban merged,AGO,Bengo,n_age_105_111,108,clinical,ppy,0.112465794504314
Angola,rural/urban merged,AGO,Bengo,n_age_112_118,115,clinical,ppy,0.115979700720218
Angola,rural/urban merged,AGO,Bengo,n_age_119_125,122,clinical,ppy,0.106953255327229
Angola,rural/urban merged,AGO,Bengo,n_age_126_132,129,clinical,ppy,0.13173504723538
Angola,rural/urban merged,AGO,Bengo,n_age_133_139,136,clinical,ppy,0.114960197978807
Angola,rural/urban merged,AGO,Bengo,n_age_140_146,143,clinical,ppy,0.122008299184331
Angola,rural/urban merged,AGO,Bengo,n_age_147_153,150,clinical,ppy,0.124935212098882
Angola,rural/urban merged,AGO,Bengo,n_age_154_160,157,clinical,ppy,0.140985711820894
Angola,rural/urban merged,AGO,Bengo,n_age_161_167,164,clinical,ppy,0.118916528886802
Angola,rural/urban merged,AGO,Bengo,n_age_168_174,171,clinical,ppy,0.131898900645044
Angola,rural/urban merged,AGO,Bengo,n_age_175_181,178,clinical,ppy,0.135033336796963
Angola,rural/urban merged,AGO,Bengo,n_age_182_188,185,clinical,ppy,0.122743639268506
Angola,rural/urban merged,AGO,Bengo,n_age_189_195,192,clinical,ppy,0.155340812126127
Angola,rural/urban merged,AGO,Bengo,n_age_196_202,199,clinical,ppy,0.128947104476513
Angola,rural/urban merged,AGO,Bengo,n_age_203_209,206,clinical,ppy,0.175305742000402
Angola,rural/urban merged,AGO,Bengo,n_age_210_216,213,clinical,ppy,0.16357827626377
Angola,rural/urban merged,AGO,Bengo,n_age_217_223,220,clinical,ppy,0.122824403849171
Angola,rural/urban merged,AGO,Bengo,n_age_224_230,227,clinical,ppy,0.157807092121258
Angola,rural/urban merged,AGO,Bengo,n_age_231_237,234,clinical,ppy,0.167213260572067
Angola,rural/urban merged,AGO,Bengo,n_age_238_244,241,clinical,ppy,0.163932601705014
Angola,rural/urban merged,AGO,Bengo,n_age_245_251,248,clinical,ppy,0.15883990641907
Angola,rural/urban merged,AGO,Bengo,n_age_252_258,255,clinical,ppy,0.128680085536907
Angola,rural/urban merged,AGO,Bengo,n_age_259_265,262,clinical,ppy,0.149737751448144
Angola,rural/urban merged,AGO,Bengo,n_age_266_272,269,clinical,ppy,0.180229194678353
Angola,rural/urban merged,AGO,Bengo,n_age_273_279,276,clinical,ppy,0.130332323582361
Angola,rural/urban merged,AGO,Bengo,n_age_280_286,283,clinical,ppy,0.148658190248588
Angola,rural/urban merged,AGO,Bengo,n_age_287_293,290,clinical,ppy,0.14513904666037
Angola,rural/urban merged,AGO,Bengo,n_age_294_300,297,clinical,ppy,0.150539352203323
Angola,rural/urban merged,AGO,Bengo,n_age_301_307,304,clinical,ppy,0.166732797188258
Angola,rural/urban merged,AGO,Bengo,n_age_308_314,311,clinical,ppy,0.14155180862499
Angola,rural/urban merged,AGO,Bengo,n_age_315_321,318,clinical,ppy,0.166200293624656
Angola,rural/urban merged,AGO,Bengo,n_age_322_328,325,clinical,ppy,0.153194313784741
Angola,rural/urban merged,AGO,Bengo,n_age_329_335,332,clinical,ppy,0.169144611314854
Angola,rural/urban merged,AGO,Bengo,n_age_336_342,339,clinical,ppy,0.138182319391456
Angola,rural/urban merged,AGO,Bengo,n_age_343_349,346,clinical,ppy,0.166723805588099
Angola,rural/urban merged,AGO,Bengo,n_age_350_356,353,clinical,ppy,0.195573716685972
Angola,rural/urban merged,AGO,Bengo,n_age_357_363,360,clinical,ppy,0.170695735333219
Angola,rural/urban merged,AGO,Bengo,n_age_364_370,367,clinical,ppy,0.163619889775293
Angola,rural/urban merged,AGO,Bengo,n_age_371_377,374,clinical,ppy,0.165881263108149
Angola,rural/urban merged,AGO,Bengo,n_age_378_384,381,clinical,ppy,0.181228769222294
